,aa,ge,jnj,msft,axp,gm,jpm,pg,ba,hd,ko,sbc,c,hon,mcd,t,cat,hwp,mmm,utx,dd,ibm,mo,wmt,dis,intc,mrk,xom,ek,ip
aa,0.147,0.03,0.008,0.063,0.047,0.047,0.065,0.001,0.041,0.038,0.005,0.003,0.055,0.083,0.014,0.014,0.075,0.102,0.05,0.073,0.052,0.06,0.014,0.023,0.036,0.103,-0.01,0.017,0.074,0.091
ge,0.03,0.069,0.021,0.07,0.045,0.033,0.047,0.012,0.026,0.049,0.016,0.019,0.051,0.04,0.026,0.02,0.015,0.035,0.014,0.056,0.03,0.034,0.004,0.041,0.032,0.041,0.014,0.009,0.025,0.029
jnj,0.008,0.021,0.07,0.018,0.032,0.009,0.007,0.032,0.024,-0.001,0.041,0.021,0.031,0.01,0.027,-0.012,0.023,-0.018,0.016,0.026,0.013,0.006,0.019,0.026,0.006,0.006,0.048,0.01,0.011,0.018
msft,0.063,0.07,0.018,0.247,0.04,0.039,0.069,-0.016,0.017,0.061,0.012,0.018,0.057,0.031,0.018,0.066,0.01,0.084,0.003,0.058,0.03,0.087,0.001,0.049,0.037,0.15,0.006,0.009,0.045,0.038
axp,0.047,0.045,0.032,0.04,0.103,0.052,0.075,0.032,0.074,0.049,0.051,0.02,0.087,0.073,0.043,0.011,0.053,0.041,0.026,0.076,0.047,0.034,0.006,0.041,0.058,0.049,0.041,0.027,0.028,0.058
gm,0.047,0.033,0.009,0.039,0.052,0.129,0.076,0.012,0.045,0.037,0.007,-0.008,0.073,0.056,0.027,0.061,0.028,0.08,0.017,0.054,0.02,0.046,-0.007,0.015,0.069,0.088,0.009,0.008,0.035,0.021
jpm,0.065,0.047,0.007,0.069,0.075,0.076,0.16,0.019,0.032,0.059,0.036,-0.003,0.11,0.069,0.03,0.042,0.05,0.072,0.022,0.076,0.04,0.056,0.005,0.054,0.065,0.093,0.02,0.007,0.035,0.044
pg,0.001,0.012,0.032,-0.016,0.032,0.012,0.019,0.102,0.024,0.003,0.048,0.003,0.023,0.038,0.018,-0.017,0.006,0,0.013,0.012,0.021,-0.015,0.01,0.021,-0.008,-0.023,0.032,0.008,0.005,0.01
ba,0.041,0.026,0.024,0.017,0.074,0.045,0.032,0.024,0.136,0.017,0.039,0.017,0.056,0.067,0.031,-0.003,0.055,0.026,0.048,0.079,0.041,0.026,0.013,0.011,0.057,0.037,0.036,0.027,0.021,0.056
hd,0.038,0.049,-0.001,0.061,0.049,0.037,0.059,0.003,0.017,0.109,0.002,0.013,0.042,0.026,0.028,0.051,0.021,0.055,0.012,0.064,0.022,0.032,-0.018,0.062,0.031,0.022,-0.008,0.002,0.006,0.036
ko,0.005,0.016,0.041,0.012,0.051,0.007,0.036,0.048,0.039,0.002,0.1,0.026,0.06,0.032,0.032,0.002,0.014,-0.001,0.019,0.027,0.029,0.006,0.017,0.029,0.025,0.001,0.048,0.02,0.005,0.028
sbc,0.003,0.019,0.021,0.018,0.02,-0.008,-0.003,0.003,0.017,0.013,0.026,0.093,0.016,0.022,0.023,0.041,0.018,-0.014,0.01,0.016,0.005,0.003,0.017,0.026,0.005,-0.025,0.035,0.012,0.003,0.035
c,0.055,0.051,0.031,0.057,0.087,0.073,0.11,0.023,0.056,0.042,0.06,0.016,0.134,0.063,0.034,0.03,0.05,0.047,0.032,0.073,0.05,0.06,0,0.052,0.067,0.072,0.024,0.021,0.031,0.046
hon,0.083,0.04,0.01,0.031,0.073,0.056,0.069,0.038,0.067,0.026,0.032,0.022,0.063,0.21,0.056,-0.003,0.08,0.07,0.038,0.095,0.064,0.048,0.036,0.027,0.053,0.07,0.035,0.029,0.058,0.1
mcd,0.014,0.026,0.027,0.018,0.043,0.027,0.03,0.018,0.031,0.028,0.032,0.023,0.034,0.056,0.075,0.012,0.03,0.006,0.011,0.049,0.022,0.017,0.006,0.034,0.029,0.01,0.035,0.014,0.006,0.041
t,0.014,0.02,-0.012,0.066,0.011,0.061,0.042,-0.017,-0.003,0.051,0.002,0.041,0.03,-0.003,0.012,0.168,-0.018,0.047,-0.01,0.004,-0.021,0.053,-0.012,0.018,0.03,0.05,-0.01,-0.005,0.005,0.016
cat,0.075,0.015,0.023,0.01,0.053,0.028,0.05,0.006,0.055,0.021,0.014,0.018,0.05,0.08,0.03,-0.018,0.111,0.008,0.046,0.06,0.059,0.028,0.016,0.031,0.026,0.035,0.019,0.024,0.041,0.08
hwp,0.102,0.035,-0.018,0.084,0.041,0.08,0.072,0,0.026,0.055,-0.001,-0.014,0.047,0.07,0.006,0.047,0.008,0.226,0.017,0.059,0.026,0.086,0.01,0.008,0.065,0.142,-0.023,0.013,0.051,0.032
mmm,0.05,0.014,0.016,0.003,0.026,0.017,0.022,0.013,0.048,0.012,0.019,0.01,0.032,0.038,0.011,-0.01,0.046,0.017,0.063,0.041,0.041,0.016,0.016,0.012,0.022,0.011,0.005,0.015,0.021,0.047
utx,0.073,0.056,0.026,0.058,0.076,0.054,0.076,0.012,0.079,0.064,0.027,0.016,0.073,0.095,0.049,0.004,0.06,0.059,0.041,0.132,0.046,0.043,0.015,0.057,0.066,0.052,0.019,0.018,0.032,0.067
dd,0.052,0.03,0.013,0.03,0.047,0.02,0.04,0.021,0.041,0.022,0.029,0.005,0.05,0.064,0.022,-0.021,0.059,0.026,0.041,0.046,0.084,0.018,0.007,0.024,0.02,0.02,0.016,0.023,0.025,0.06
ibm,0.06,0.034,0.006,0.087,0.034,0.046,0.056,-0.015,0.026,0.032,0.006,0.003,0.06,0.048,0.017,0.053,0.028,0.086,0.016,0.043,0.018,0.118,0.022,0.02,0.044,0.107,-0.016,0.021,0.039,0.038
mo,0.014,0.004,0.019,0.001,0.006,-0.007,0.005,0.01,0.013,-0.018,0.017,0.017,0,0.036,0.006,-0.012,0.016,0.01,0.016,0.015,0.007,0.022,0.097,-0.008,-0.004,-0.004,0.017,0.007,0.026,0.016
wmt,0.023,0.041,0.026,0.049,0.041,0.015,0.054,0.021,0.011,0.062,0.029,0.026,0.052,0.027,0.034,0.018,0.031,0.008,0.012,0.057,0.024,0.02,-0.008,0.099,0.011,0.009,0.021,0.004,-0.005,0.031
dis,0.036,0.032,0.006,0.037,0.058,0.069,0.065,-0.008,0.057,0.031,0.025,0.005,0.067,0.053,0.029,0.03,0.026,0.065,0.022,0.066,0.02,0.044,-0.004,0.011,0.107,0.069,0.024,0.014,0.037,0.028
intc,0.103,0.041,0.006,0.15,0.049,0.088,0.093,-0.023,0.037,0.022,0.001,-0.025,0.072,0.07,0.01,0.05,0.035,0.142,0.011,0.052,0.02,0.107,-0.004,0.009,0.069,0.284,0.007,0.007,0.089,0.05
mrk,-0.01,0.014,0.048,0.006,0.041,0.009,0.02,0.032,0.036,-0.008,0.048,0.035,0.024,0.035,0.035,-0.01,0.019,-0.023,0.005,0.019,0.016,-0.016,0.017,0.021,0.024,0.007,0.102,0.006,-0.002,0.024
xom,0.017,0.009,0.01,0.009,0.027,0.008,0.007,0.008,0.027,0.002,0.02,0.012,0.021,0.029,0.014,-0.005,0.024,0.013,0.015,0.018,0.023,0.021,0.007,0.004,0.014,0.007,0.006,0.028,0.001,0.024
ek,0.074,0.025,0.011,0.045,0.028,0.035,0.035,0.005,0.021,0.006,0.005,0.003,0.031,0.058,0.006,0.005,0.041,0.051,0.021,0.032,0.025,0.039,0.026,-0.005,0.037,0.089,-0.002,0.001,0.13,0.041
ip,0.091,0.029,0.018,0.038,0.058,0.021,0.044,0.01,0.056,0.036,0.028,0.035,0.046,0.1,0.041,0.016,0.08,0.032,0.047,0.067,0.06,0.038,0.016,0.031,0.028,0.05,0.024,0.024,0.041,0.136