Symbol,Historical Return Vector,CAPM Return Vector,Implied Equilibrium Return Vector
aa,17.3,15.43,13.81
ge,16.91,12.15,13.57
jnj,16.98,9.39,9.75
msft,23.95,14.89,20.41
axp,15,15.65,14.94
gm,4.59,13.5,12.83
jpm,5.31,15.89,16.46
pg,7.81,8.04,7.56
ba,-4.18,14.16,11.81
hd,29.38,11.59,12.52
ko,-0.57,10.95,10.92
sbc,10.1,7.76,8.79
c,24.55,16.59,16.97
hon,-0.05,16.89,14.5
mcd,2.74,10.7,10.44
t,-1.24,8.88,10.74
cat,7.97,13.08,10.92
hwp,-4.97,14.92,14.45
mmm,9.03,10.43,8.66
utx,13.39,16.51,15.47
dd,0.44,12.21,10.98
ibm,21.99,13.47,14.66
mo,10.47,7.57,6.86
wmt,30.23,10.94,12.77
dis,-2.59,12.89,12.41
intc,13.59,15.83,18.7
mrk,8.65,8.95,9.22
xom,11.1,8.39,7.88
ek,-17,11.08,10.61
ip,1.24,14.8,12.92